"PERMNO","Company Name","Ticker","SP500 Start","SP500 End"
"28388","VORNADO REALTY TRUST","VNO","Aug. 12, 2005","Jan. 4, 2023"
"28484","HESS CORP","HES","May 17, 1984","Dec. 31, 2024"
"29102","NABORS INDUSTRIES LTD","NBR","Oct. 18, 2000","March 20, 2015"
"29946","BROWN FORMAN CORP","BF","Oct. 14, 1982","Dec. 31, 2024"
"30681","OMNICOM GROUP INC","OMC","Dec. 24, 1997","Dec. 31, 2024"
"30940","FLOWSERVE CORP","FLS","Oct. 2, 2008","March 19, 2021"
"32870","HORMEL FOODS CORP","HRL","March 4, 2009","Dec. 31, 2024"
"34032","MASCO CORP","MAS","June 18, 1981","Dec. 31, 2024"
"34746","FIFTH THIRD BANCORP","FITB","March 8, 1996","Dec. 31, 2024"
"34817","NUCOR CORP","NUE","April 18, 1985","Dec. 31, 2024"
"34833","OCCIDENTAL PETROLEUM CORP","OXY","Dec. 9, 1982","Dec. 31, 2024"
"35044","REGIONS FINANCIAL CORP NEW","RF","Aug. 28, 1998","Dec. 31, 2024"
"35051","PALL CORP","PLL","Dec. 31, 1987","Aug. 28, 2015"
"35554","M & T BANK CORP","MTB","Feb. 27, 2004","Dec. 31, 2024"
"36397","FIRST HORIZON NATIONAL CORP","FHN","May 6, 2002","June 21, 2013"
"36468","SHERWIN WILLIAMS CO","SHW","May 14, 1964","Dec. 31, 2024"
"37161","T E C O ENERGY INC","TE","Oct. 10, 2001","June 30, 2016"
"37284","TESORO CORP","TSO","Sept. 27, 2007","Sept. 28, 2018"
"37584","FRANKLIN RESOURCES INC","BEN","April 29, 1998","Dec. 31, 2024"
"38156","WILLIAMS COS","WMB","Feb. 6, 1975","Dec. 31, 2024"
"38682","DONNELLEY R R & SONS CO","RRD","July 19, 1984","Dec. 11, 2012"
"38703","WELLS FARGO & CO NEW","WFC","July 1, 1976","Dec. 31, 2024"
"38762","NISOURCE INC","NI","Nov. 2, 2000","Dec. 31, 2024"
"39087","SPRINT NEXTEL CORP","S","July 27, 1989","July 8, 2013"
"39490","APACHE CORP","APA","July 28, 1997","Dec. 31, 2024"
"39538","MATTEL INC","MAT","March 11, 1982","June 6, 2019"
"39642","BECTON DICKINSON & CO","BDX","Sept. 14, 1972","Dec. 31, 2024"
"39917","WEYERHAEUSER CO","WY","Dec. 5, 1963","Dec. 31, 2024"
"40125","COMPUTER SCIENCES CORP","CSC","May 14, 1981","Nov. 30, 2015"
"40272","INTERNATIONAL FLAVORS & FRAG INC","IFF","March 4, 1976","Dec. 31, 2024"
"40416","AVON PRODUCTS INC","AVP","May 18, 1967","March 20, 2015"
"40539","T J X COMPANIES INC NEW","TJX","Sept. 26, 1985","Dec. 31, 2024"
"41080","CUMMINS INC","CMI","Jan. 7, 1965","Dec. 31, 2024"
"41355","PARKER HANNIFIN CORP","PH","Nov. 7, 1985","Dec. 31, 2024"
"42200","PERKINELMER INC","PKI","May 9, 1985","Dec. 31, 2024"
"42534","JOHNSON CONTROLS INC","JCI","May 8, 1986","Sept. 2, 2016"
"42585","SMUCKER J M CO","SJM","Nov. 6, 2008","Dec. 31, 2024"
"42796","MEREDITH CORP","MDP","May 23, 1968","Jan. 3, 2011"
"42906","HUNTINGTON BANCSHARES INC","HBAN","Aug. 6, 1997","Dec. 31, 2024"
"43123","ALLEGHENY TECHNOLOGIES","ATI","Oct. 26, 1978","July 1, 2015"
"43350","STANLEY WORKS","SWK","Sept. 16, 1982","Dec. 31, 2024"
"43449","MCDONALDS CORP","MCD","June 25, 1970","Dec. 31, 2024"
"43553","V F CORP","VFC","May 3, 1979","April 2, 2024"
"43772","BEMIS CO INC","BMS","July 20, 1978","Dec. 4, 2014"
"44206","NORTHEAST UTILITIES","NU","March 17, 2009","Dec. 31, 2024"
"44601","AVERY DENNISON CORP","AVY","Dec. 24, 1987","Dec. 31, 2024"
"44644","AUTOMATIC DATA PROCESSING INC","ADP","Feb. 26, 1981","Dec. 31, 2024"
"44951","SUPERVALU INC","SVU","Jan. 31, 1985","April 30, 2012"
"45241","FOREST LABS INC","FRX","Nov. 22, 2000","June 30, 2014"
"45277","INTERNATIONAL GAME TECHNOLOGY","IGT","Sept. 4, 2001","June 20, 2014"
"45495","ROWAN COMPANIES INC","RDC","Jan. 10, 1985","Aug. 18, 2014"
"45751","MARSH & MCLENNAN COS INC","MMC","Aug. 6, 1987","Dec. 31, 2024"
"45794","SMITH INTERNATIONAL INC","SII","Oct. 2, 2006","Aug. 26, 2010"
